id_interacao,id_cliente,data_interacao,canal,direcao,resultado,texto
INT000019,PJ0007,2026-01-28,email,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000020,PJ0007,2026-02-19,whatsapp,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000021,PJ0008,2026-02-27,telefone,receptiva,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000024,PJ0009,2026-02-27,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000023,PJ0009,2026-03-08,portal,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000022,PJ0009,2026-04-02,email,receptiva,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000025,PJ0010,2026-02-23,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000027,PJ0010,2026-02-27,whatsapp,receptiva,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000026,PJ0010,2026-03-18,portal,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000029,PJ0011,2026-01-12,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000028,PJ0011,2026-01-15,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000030,PJ0011,2026-01-23,email,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000031,PJ0011,2026-01-29,email,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000032,PJ0012,2026-01-21,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000034,PJ0012,2026-02-01,email,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000033,PJ0012,2026-02-13,telefone,ativa,contestacao,Representante contestou o valor e solicitou validação do contrato antes de negociar.
INT000035,PJ0013,2026-01-06,portal,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000036,PJ0014,2026-02-20,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000038,PJ0015,2026-04-05,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000037,PJ0015,2026-04-26,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000040,PJ0016,2026-02-16,whatsapp,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000039,PJ0016,2026-02-18,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000041,PJ0016,2026-04-10,whatsapp,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000044,PJ0017,2025-12-30,portal,receptiva,contestacao,Cliente informou divergência no saldo; negociação interrompida para análise.
INT000045,PJ0017,2026-02-17,whatsapp,receptiva,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000043,PJ0017,2026-02-18,telefone,ativa,contestacao,Representante contestou o valor e solicitou validação do contrato antes de negociar.
INT000042,PJ0017,2026-02-20,whatsapp,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000046,PJ0017,2026-02-27,telefone,receptiva,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000047,PJ0018,2025-12-23,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000050,PJ0018,2025-12-24,email,receptiva,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000051,PJ0018,2026-01-08,whatsapp,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000049,PJ0018,2026-01-22,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000048,PJ0018,2026-01-28,whatsapp,receptiva,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000054,PJ0019,2026-03-20,whatsapp,receptiva,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000055,PJ0019,2026-03-26,email,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000056,PJ0019,2026-03-27,telefone,receptiva,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000053,PJ0019,2026-04-17,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000052,PJ0019,2026-04-25,whatsapp,receptiva,contestacao,Cliente informou divergência no saldo; negociação interrompida para análise.
INT000058,PJ0020,2026-04-29,email,receptiva,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000057,PJ0020,2026-05-15,portal,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000059,PJ0020,2026-05-23,portal,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000060,PJ0021,2026-02-16,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000061,PJ0021,2026-04-05,telefone,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000062,PJ0022,2026-04-17,portal,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000063,PJ0022,2026-04-22,email,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000064,PJ0022,2026-06-25,telefone,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000065,PJ0023,2026-02-04,telefone,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000068,PJ0024,2026-02-24,telefone,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000066,PJ0024,2026-03-01,telefone,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000069,PJ0024,2026-03-09,telefone,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000067,PJ0024,2026-04-03,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000072,PJ0025,2025-12-16,email,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000070,PJ0025,2026-01-22,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000071,PJ0025,2026-02-16,telefone,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000073,PJ0026,2025-12-09,portal,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000074,PJ0026,2025-12-18,portal,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000078,PJ0027,2026-03-16,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000075,PJ0027,2026-04-01,telefone,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000076,PJ0027,2026-04-02,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000077,PJ0027,2026-05-20,whatsapp,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000080,PJ0028,2026-04-09,email,ativa,contestacao,Cliente informou divergência no saldo; negociação interrompida para análise.
INT000079,PJ0028,2026-05-01,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000081,PJ0028,2026-05-23,portal,receptiva,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000084,PJ0029,2025-12-16,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000082,PJ0029,2025-12-24,portal,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000083,PJ0029,2026-01-12,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000085,PJ0029,2026-01-28,whatsapp,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000088,PJ0030,2025-12-16,whatsapp,ativa,contestacao,Representante contestou o valor e solicitou validação do contrato antes de negociar.
INT000089,PJ0030,2025-12-30,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000086,PJ0030,2026-01-10,whatsapp,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000090,PJ0030,2026-01-30,telefone,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000087,PJ0030,2026-02-18,whatsapp,ativa,contestacao,Representante contestou o valor e solicitou validação do contrato antes de negociar.
INT000092,PJ0031,2026-03-02,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000091,PJ0031,2026-03-12,telefone,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000093,PJ0032,2026-04-17,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000095,PJ0033,2026-03-18,portal,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000096,PJ0033,2026-04-06,email,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000094,PJ0033,2026-04-24,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000100,PJ0034,2026-03-21,email,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000097,PJ0034,2026-05-13,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000098,PJ0034,2026-05-16,whatsapp,receptiva,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000099,PJ0034,2026-05-18,telefone,receptiva,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000101,PJ0035,2026-01-18,portal,receptiva,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000104,PJ0035,2026-02-26,email,receptiva,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000102,PJ0035,2026-03-06,telefone,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000103,PJ0035,2026-03-21,email,receptiva,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000108,PJ0036,2026-03-21,whatsapp,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000106,PJ0036,2026-04-04,email,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000105,PJ0036,2026-05-01,whatsapp,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000107,PJ0036,2026-05-04,email,receptiva,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000109,PJ0037,2026-04-01,portal,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000110,PJ0038,2025-11-20,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000111,PJ0038,2026-01-01,email,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000112,PJ0038,2026-01-01,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000114,PJ0039,2025-12-16,telefone,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000113,PJ0039,2026-01-01,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000116,PJ0040,2026-02-25,whatsapp,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000117,PJ0040,2026-03-13,whatsapp,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000115,PJ0040,2026-03-25,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000118,PJ0040,2026-04-22,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000120,PJ0041,2025-12-01,whatsapp,receptiva,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000122,PJ0041,2025-12-05,telefone,receptiva,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000119,PJ0041,2025-12-11,email,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000121,PJ0041,2025-12-17,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000123,PJ0042,2026-05-14,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000125,PJ0042,2026-05-17,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000124,PJ0042,2026-05-23,whatsapp,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000126,PJ0042,2026-06-12,whatsapp,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000129,PJ0043,2025-12-27,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000127,PJ0043,2025-12-30,portal,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000128,PJ0043,2026-01-08,portal,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000131,PJ0044,2026-01-14,whatsapp,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000130,PJ0044,2026-01-20,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000132,PJ0045,2026-05-13,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000135,PJ0046,2026-02-10,portal,receptiva,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000134,PJ0046,2026-02-21,whatsapp,receptiva,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000133,PJ0046,2026-03-23,whatsapp,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000136,PJ0047,2026-01-13,whatsapp,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000137,PJ0048,2026-05-20,whatsapp,receptiva,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000138,PJ0049,2026-05-26,telefone,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000140,PJ0050,2026-02-26,whatsapp,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000142,PJ0050,2026-03-29,whatsapp,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000139,PJ0050,2026-03-31,email,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000141,PJ0050,2026-04-04,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000143,PJ0051,2026-03-03,whatsapp,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000144,PJ0052,2026-03-14,telefone,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000146,PJ0052,2026-03-15,email,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000148,PJ0052,2026-03-17,portal,receptiva,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000147,PJ0052,2026-04-11,email,receptiva,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000145,PJ0052,2026-05-15,whatsapp,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000150,PJ0053,2025-11-20,telefone,receptiva,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000151,PJ0053,2025-12-08,portal,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000149,PJ0053,2025-12-24,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000152,PJ0053,2026-01-08,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000153,PJ0054,2025-11-19,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000157,PJ0054,2025-12-20,whatsapp,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000156,PJ0054,2025-12-28,email,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000155,PJ0054,2025-12-30,whatsapp,receptiva,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000154,PJ0054,2026-01-18,email,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000158,PJ0055,2025-12-15,whatsapp,receptiva,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000159,PJ0056,2026-05-03,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000160,PJ0056,2026-05-31,email,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000161,PJ0057,2026-05-02,email,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000162,PJ0057,2026-05-05,portal,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000163,PJ0057,2026-06-08,portal,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000164,PJ0057,2026-06-28,whatsapp,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000165,PJ0058,2026-05-26,telefone,ativa,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000166,PJ0058,2026-06-26,email,receptiva,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000167,PJ0059,2025-11-14,portal,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000169,PJ0059,2025-11-28,portal,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000168,PJ0059,2026-01-16,email,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000174,PJ0060,2026-04-14,whatsapp,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000172,PJ0060,2026-04-29,telefone,receptiva,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000170,PJ0060,2026-04-30,telefone,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000173,PJ0060,2026-05-05,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000171,PJ0060,2026-05-11,email,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000177,PJ0061,2025-11-26,whatsapp,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000178,PJ0061,2025-12-01,email,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000176,PJ0061,2025-12-18,telefone,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000175,PJ0061,2025-12-26,email,receptiva,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000179,PJ0061,2026-01-01,email,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000182,PJ0062,2026-03-10,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000181,PJ0062,2026-03-12,portal,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000180,PJ0062,2026-04-29,portal,receptiva,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000183,PJ0063,2026-04-22,whatsapp,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000184,PJ0064,2025-12-22,telefone,receptiva,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000185,PJ0064,2026-01-20,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000187,PJ0064,2026-01-25,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000186,PJ0064,2026-01-26,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000188,PJ0065,2026-01-12,telefone,ativa,recuperacao_judicial,Representante informou processo de recuperação judicial; caso requer equipe especializada.
INT000189,PJ0066,2025-12-02,email,receptiva,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000190,PJ0066,2025-12-31,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000193,PJ0067,2025-12-25,email,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000192,PJ0067,2026-01-09,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000191,PJ0067,2026-02-21,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000197,PJ0068,2025-12-07,email,receptiva,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000198,PJ0068,2026-01-07,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000196,PJ0068,2026-01-11,portal,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000195,PJ0068,2026-01-19,whatsapp,ativa,sem_sucesso,Tentativa sem sucesso; telefone chamou e não houve atendimento.
INT000194,PJ0068,2026-01-25,telefone,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000201,PJ0069,2026-02-04,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000200,PJ0069,2026-02-05,whatsapp,ativa,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000202,PJ0069,2026-02-18,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000199,PJ0069,2026-03-24,email,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000203,PJ0070,2026-03-22,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000204,PJ0071,2026-01-05,portal,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000207,PJ0071,2026-01-14,telefone,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000206,PJ0071,2026-01-21,whatsapp,receptiva,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000208,PJ0071,2026-02-05,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000205,PJ0071,2026-02-21,portal,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000209,PJ0072,2025-12-12,whatsapp,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000210,PJ0072,2025-12-15,telefone,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000211,PJ0072,2026-01-02,telefone,receptiva,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000213,PJ0072,2026-01-05,telefone,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
INT000212,PJ0072,2026-01-22,whatsapp,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
