id_cliente,data_referencia,setor,porte,uf,tempo_relacionamento_meses,faturamento_mensal_estimado,saldo_devedor,dias_atraso,qtd_contratos_ativos,qtd_parcelas_vencidas,limite_credito,utilizacao_limite_pct,qtd_contatos_ult_30d,promessa_pagamento_ult_30d,renegociacoes_ult_12m,canal_preferencial,risco_setorial,score_regularizacao_legado,score_cobranca_atualizado_30d,regularizou_30d
PJ0012,2026-02-28,Indústria,ME,SP,183,34078.97,3645.63,12,2,1,23909.65,0.1517,0,0,2,whatsapp,baixo,402,122,0
PJ0013,2026-01-28,Construção,ME,SC,190,62369.85,19232.63,68,1,2,32319.06,0.6383,8,1,0,email,medio,434,870,1
PJ0014,2026-03-28,Tecnologia,EPP,SC,236,32665.3,21918.5,36,2,3,30551.27,0.8745,3,1,0,portal,alto,724,811,1
PJ0015,2026-05-28,Indústria,ME,SC,230,21314.2,11654.35,36,1,1,17484.42,0.6729,8,0,0,portal,baixo,464,150,0
PJ0016,2026-04-30,Comércio,ME,MG,229,16785.97,5890.98,107,1,5,11320.05,0.5564,2,0,1,whatsapp,alto,119,21,0
PJ0017,2026-02-28,Serviços,ME,MG,146,70405.15,6185.0,6,2,1,59809.24,0.2277,4,0,0,email,baixo,524,926,1
PJ0018,2026-02-28,Tecnologia,Média,PR,84,479569.65,129615.37,27,1,1,237271.32,0.5864,7,0,0,whatsapp,baixo,625,948,1
PJ0019,2026-04-30,Serviços,ME,MG,16,16754.72,7733.77,51,5,2,22860.96,0.3896,6,0,1,email,baixo,440,217,0
PJ0020,2026-05-28,Comércio,EPP,SP,27,150843.4,47169.43,39,1,2,114796.78,0.4838,5,0,0,telefone,medio,651,149,0
PJ0021,2026-04-30,Comércio,Grande,GO,217,1080253.66,181342.54,55,5,2,969241.18,0.1538,5,1,1,telefone,medio,583,947,1
PJ0022,2026-06-30,Serviços,EPP,SP,230,92365.8,22948.0,48,2,3,68792.53,0.2924,3,1,2,portal,medio,714,848,1
PJ0023,2026-02-28,Comércio,EPP,PR,120,97127.18,41161.45,60,4,2,108329.57,0.3415,6,0,1,email,medio,381,254,0
PJ0024,2026-04-30,Serviços,EPP,RJ,74,35462.78,9636.58,100,2,4,22864.8,0.378,2,1,0,whatsapp,medio,582,800,1
PJ0025,2026-02-28,Comércio,Média,SP,5,260277.49,68269.12,28,2,2,203871.09,0.4076,8,0,1,email,medio,375,236,0
PJ0026,2026-01-28,Agronegócio,ME,RJ,220,52572.05,22098.54,94,2,5,62965.65,0.5184,0,0,0,whatsapp,baixo,109,174,0
PJ0027,2026-05-28,Comércio,EPP,PR,104,22534.16,9557.83,23,2,1,17855.36,0.5464,8,1,1,telefone,alto,795,343,0
PJ0028,2026-05-28,Agronegócio,ME,SC,216,14307.74,5151.24,54,2,2,11141.27,0.4854,3,1,0,email,medio,548,266,0
PJ0029,2026-02-28,Construção,EPP,SP,213,62280.72,28297.88,75,1,3,49145.17,0.5286,6,0,2,email,baixo,58,903,1
PJ0030,2026-02-28,Tecnologia,Média,SP,176,223973.88,46373.74,35,3,1,151606.4,0.2292,0,0,4,telefone,alto,89,58,0
PJ0031,2026-03-28,Construção,EPP,SP,188,74637.47,11401.23,17,1,2,59033.54,0.1353,3,0,0,whatsapp,medio,602,937,1
PJ0032,2026-06-30,Comércio,ME,SC,169,14143.79,5666.1,11,1,1,8160.58,0.6458,7,0,3,email,medio,782,815,1
PJ0033,2026-04-30,Indústria,ME,RJ,46,,43477.04,31,1,2,82547.52,0.4521,7,0,0,email,baixo,778,63,0
PJ0034,2026-05-28,Serviços,EPP,SC,78,,18475.43,23,2,1,36311.83,0.4796,4,1,0,whatsapp,medio,909,22,0
PJ0035,2026-03-28,Tecnologia,ME,SC,92,23488.63,12030.4,17,2,1,14111.19,0.8393,0,0,1,email,medio,277,894,1
PJ0036,2026-05-28,Serviços,ME,SP,206,,28895.48,33,4,1,67946.8,0.5035,3,1,0,telefone,alto,879,343,0
PJ0037,2026-04-30,Agronegócio,ME,SP,15,42948.78,31891.55,33,3,1,56860.1,0.5575,5,0,0,telefone,medio,458,819,1
PJ0038,2026-01-28,Serviços,Média,SP,128,253852.85,97109.99,75,2,4,151148.13,0.7374,8,0,0,telefone,baixo,197,147,0
PJ0039,2026-01-28,Tecnologia,EPP,SP,124,16091.63,10455.32,22,1,1,27186.06,0.4701,4,0,1,whatsapp,baixo,923,182,0
PJ0040,2026-04-30,Construção,Grande,SP,52,2111422.36,809893.43,71,3,3,2284430.21,0.3601,2,0,0,whatsapp,medio,380,109,0
PJ0041,2026-01-28,Construção,EPP,SP,18,89198.83,11533.51,55,6,3,37058.63,0.4807,5,0,1,portal,medio,188,126,0
PJ0042,2026-06-30,Agronegócio,EPP,SP,217,31138.22,5578.72,11,2,1,19933.01,0.2454,3,0,0,telefone,baixo,907,949,1
PJ0043,2026-02-28,Indústria,ME,SP,26,12472.92,4351.03,57,2,2,10542.89,0.3824,0,0,0,portal,alto,309,334,0
PJ0044,2026-02-28,Serviços,EPP,MG,136,53246.07,8806.22,68,1,3,17311.07,0.4542,3,1,2,portal,alto,353,815,1
PJ0045,2026-06-30,Comércio,ME,SP,91,30771.51,11154.08,85,2,4,28507.67,0.5011,6,1,0,whatsapp,medio,741,795,1
PJ0046,2026-03-28,Serviços,EPP,SP,190,68163.75,17778.43,20,3,1,48661.4,0.4638,5,1,0,telefone,alto,705,900,1
PJ0047,2026-03-28,Comércio,EPP,SP,105,171255.51,78335.73,1,2,1,236132.19,0.3826,0,0,4,whatsapp,medio,231,912,1
PJ0048,2026-06-30,Comércio,EPP,RJ,213,53523.95,39451.7,29,3,1,85668.44,0.4562,3,0,0,whatsapp,medio,225,30,0
PJ0049,2026-06-30,Tecnologia,Grande,MG,60,470728.34,345644.4,78,2,2,389522.04,1.0402,1,0,0,whatsapp,medio,45,297,0
PJ0050,2026-04-30,Serviços,EPP,PE,79,51540.52,30606.18,20,1,1,52907.58,0.5728,3,1,0,email,medio,785,798,1
PJ0051,2026-04-30,Construção,EPP,SP,26,32019.73,3510.87,102,1,5,19042.97,0.279,1,0,3,portal,baixo,38,132,0
PJ0052,2026-05-28,Comércio,EPP,PR,124,86985.99,15372.38,57,2,2,74035.1,0.3116,3,1,1,telefone,,574,73,0
PJ0053,2026-01-28,Tecnologia,EPP,MG,212,200496.35,103019.51,26,4,1,124889.72,0.9697,8,1,3,telefone,alto,428,861,1
PJ0054,2026-01-28,Tecnologia,Grande,SP,28,1987621.33,873345.04,14,6,1,1861084.7,0.6318,0,0,0,whatsapp,baixo,775,850,1
PJ0055,2026-01-28,Indústria,ME,SC,60,20948.5,14535.09,56,1,2,42657.16,0.4529,6,0,0,portal,medio,829,861,1
PJ0056,2026-06-30,Serviços,ME,MG,221,69231.18,35592.58,24,1,1,56189.33,0.6054,8,1,0,email,medio,602,797,1
PJ0057,2026-06-30,Serviços,ME,SP,8,24386.48,7075.09,33,3,1,14320.62,0.5947,0,0,0,,medio,174,947,1
PJ0058,2026-06-30,Indústria,EPP,SC,130,18906.68,3633.14,45,2,2,8797.23,0.5739,0,0,0,whatsapp,baixo,697,108,0
PJ0059,2026-01-28,Tecnologia,Grande,RJ,193,500214.58,277783.29,7,2,1,488583.42,0.4909,6,1,1,portal,baixo,936,818,1
PJ0060,2026-05-28,Indústria,ME,SP,33,64184.81,9831.8,99,1,3,32268.92,0.3204,1,0,1,telefone,alto,171,309,0
PJ0061,2026-01-28,Construção,Média,BA,54,232972.3,54633.02,56,2,2,135087.75,0.4658,2,0,1,email,baixo,757,915,1
PJ0062,2026-04-30,Serviços,Média,PR,140,100205.51,68036.45,171,2,7,197614.32,0.3996,4,0,0,whatsapp,alto,6,194,0
PJ0063,2026-05-28,Comércio,Média,MG,61,125124.46,23321.84,38,2,2,84091.73,0.364,8,0,0,portal,medio,736,368,0
PJ0064,2026-01-28,Serviços,Média,RS,54,121267.79,84619.47,113,4,4,94720.67,0.8833,4,1,1,whatsapp,baixo,458,50,0
PJ0065,2026-01-28,Indústria,ME,MG,19,12009.07,6391.81,70,1,2,17344.44,0.2977,2,1,0,telefone,alto,401,403,0
PJ0066,2026-01-28,Serviços,Média,RS,120,247803.59,170994.7,12,3,2,309316.23,0.6291,6,0,0,portal,alto,398,781,1
PJ0067,2026-02-28,Serviços,ME,SP,43,42494.63,29433.52,65,1,2,55391.78,0.5916,6,0,1,telefone,medio,106,305,0
PJ0068,2026-01-28,Serviços,Média,BA,230,990573.98,228866.07,10,1,1,670690.02,0.3043,1,0,0,whatsapp,alto,694,831,1
PJ0069,2026-03-28,Construção,Grande,RJ,139,509400.9,72830.62,9,3,1,443906.48,0.1413,3,1,1,portal,baixo,809,955,1
PJ0070,2026-04-30,Comércio,ME,SP,39,82888.85,31446.26,27,3,2,99231.94,0.3026,8,0,0,email,medio,266,895,1
PJ0071,2026-02-28,Construção,Grande,BA,52,550977.46,48315.02,15,1,2,409175.21,0.278,4,0,0,email,medio,511,62,0
PJ0072,2026-01-28,Comércio,ME,MG,179,67069.34,15426.12,102,1,4,51719.81,0.3861,8,0,0,whatsapp,alto,179,72,0
PJ0073,2026-01-28,Indústria,EPP,SP,51,118795.71,78099.85,7,3,1,159211.07,0.4843,8,1,0,telefone,alto,894,881,1
PJ0074,2026-06-30,Comércio,Grande,RJ,13,2017727.04,161999.25,35,2,1,1264391.93,0.2142,2,1,1,whatsapp,medio,810,818,1
PJ0075,2026-04-30,Tecnologia,Média,SP,65,120017.91,79562.87,40,1,2,149399.83,0.5371,6,0,2,whatsapp,baixo,562,417,0
PJ0076,2026-05-28,Indústria,EPP,GO,38,23185.69,15110.58,38,2,3,38286.35,0.5429,7,0,1,telefone,medio,470,910,1
PJ0077,2026-04-30,Indústria,Média,RJ,58,164762.38,54557.81,43,1,1,168336.91,0.2555,7,0,4,whatsapp,alto,108,293,0
PJ0078,2026-06-30,Serviços,ME,GO,162,24258.47,2289.41,16,2,1,8621.73,0.4299,2,1,1,telefone,baixo,805,898,1
PJ0079,2026-06-30,Indústria,EPP,RJ,147,59980.38,9728.49,12,4,1,21837.87,0.5099,7,1,0,whatsapp,medio,885,823,1
PJ0080,2026-05-28,Serviços,Média,SP,24,437352.57,208730.26,13,5,1,587589.49,0.3956,7,1,0,email,medio,928,893,1
PJ0081,2026-02-28,Serviços,EPP,RJ,72,16124.76,7496.29,29,4,1,9395.69,0.8135,0,0,0,,medio,318,60,0
PJ0082,2026-04-30,Tecnologia,ME,GO,202,45566.3,24446.43,55,1,2,65545.71,0.5526,7,1,0,whatsapp,medio,544,37,0
PJ0083,2026-05-28,Serviços,EPP,RS,161,64746.35,33675.65,12,5,1,47069.6,0.6922,7,0,2,whatsapp,medio,655,75,0
PJ0084,2026-02-28,Agronegócio,ME,RJ,55,49681.42,34584.01,51,6,2,45440.18,0.7426,1,0,3,telefone,medio,155,397,0
PJ0085,2026-04-30,Serviços,ME,RJ,38,27953.18,16019.34,16,1,1,23309.07,0.6987,2,0,1,portal,medio,431,871,1
PJ0086,2026-02-28,Comércio,EPP,SC,144,94772.29,13325.04,58,4,2,56439.69,0.2423,3,0,2,email,alto,229,994,1
PJ0087,2026-02-28,Serviços,ME,SP,111,101556.05,15118.49,31,1,3,60769.13,0.3818,3,0,0,telefone,alto,359,920,1
PJ0088,2026-04-30,Construção,ME,RS,109,31536.2,3339.23,29,1,1,23004.16,0.2842,7,0,0,whatsapp,medio,692,953,1
PJ0089,2026-03-28,Serviços,EPP,PR,207,24286.96,9178.38,37,1,2,11266.5,0.7431,4,0,3,whatsapp,baixo,215,100,0
PJ0090,2026-06-30,Serviços,EPP,BA,74,,28573.28,56,2,2,90700.59,0.4788,6,0,3,portal,medio,205,102,0
PJ0091,2026-04-30,Agronegócio,Média,MG,233,160798.5,56614.26,55,1,3,139288.89,0.3337,4,1,0,email,medio,687,68,0
PJ0092,2026-01-28,Indústria,Grande,RJ,26,251430.86,87999.93,23,1,1,117203.62,0.73,5,0,2,telefone,,327,366,0
PJ0093,2026-04-30,Tecnologia,Grande,SC,131,1323954.33,473963.7,4,2,2,938352.89,0.498,8,0,1,email,baixo,979,190,0
PJ0094,2026-04-30,Serviços,ME,BA,154,74547.25,40244.21,10,4,1,58363.31,0.7527,2,1,1,telefone,alto,839,392,0
PJ0095,2026-06-30,Comércio,ME,SP,91,22761.75,7360.18,5,5,1,17194.13,0.4311,6,0,0,whatsapp,baixo,806,791,1
PJ0096,2026-01-28,Indústria,ME,PR,103,40427.02,20040.92,7,3,1,52482.72,0.5448,5,1,0,email,medio,734,403,0
PJ0097,2026-01-28,Agronegócio,EPP,SP,81,104679.91,38841.06,16,1,2,112916.33,0.3623,2,0,0,email,medio,649,846,1
PJ0098,2026-02-28,Indústria,ME,SP,119,76427.41,31305.05,31,2,3,95377.29,0.349,4,1,0,email,medio,340,981,1
PJ0099,2026-02-28,Comércio,EPP,SP,42,115842.5,36443.32,30,1,1,58969.83,0.7677,2,0,2,portal,alto,227,426,0
PJ0100,2026-02-28,Serviços,EPP,SP,122,98235.32,47961.95,89,1,2,106833.37,0.6136,3,0,1,whatsapp,baixo,96,981,1
PJ0101,2026-02-28,Comércio,ME,RJ,21,54948.44,24309.64,97,3,5,46322.74,0.6006,6,1,0,whatsapp,medio,257,869,1
PJ0102,2026-04-30,Serviços,EPP,SP,145,43692.27,20782.34,38,3,2,62827.75,0.2826,2,1,0,email,baixo,813,946,1
PJ0103,2026-06-30,Tecnologia,ME,RJ,160,18914.9,12657.46,11,1,1,15446.46,0.8964,8,0,0,whatsapp,alto,881,252,0
PJ0104,2026-04-30,Serviços,Média,SP,11,1344355.22,982785.21,40,1,3,2571753.15,0.509,0,0,0,telefone,,396,301,0
PJ0105,2026-03-28,Serviços,Média,RJ,96,295765.77,24800.29,19,4,1,81241.04,0.3425,8,1,0,telefone,medio,933,908,1
PJ0106,2026-01-28,Comércio,Média,RS,43,435631.59,80807.64,16,3,1,227676.34,0.3918,1,0,1,whatsapp,baixo,212,356,0
PJ0107,2026-06-30,Indústria,EPP,MG,201,31389.5,20252.14,33,1,2,22182.84,0.9715,2,0,1,whatsapp,medio,176,352,0
PJ0108,2026-06-30,Serviços,ME,MG,68,,22347.66,33,1,1,40126.1,0.583,1,0,1,whatsapp,medio,172,782,1
PJ0109,2026-01-28,Serviços,ME,RJ,56,47039.74,5851.12,22,1,1,15311.92,0.3664,3,0,0,email,medio,911,774,1
PJ0110,2026-03-28,Comércio,EPP,SP,59,109469.26,45154.88,49,3,2,95657.09,0.3999,6,1,2,email,medio,217,21,0
PJ0111,2026-06-30,Indústria,Média,PR,75,278619.8,162533.91,57,2,2,407152.4,0.5464,4,0,1,email,baixo,103,902,1
PJ0112,2026-05-28,Comércio,Grande,BA,231,168287.04,88695.62,50,2,2,207918.13,0.4717,2,1,0,,baixo,703,893,1
PJ0113,2026-05-28,Comércio,Média,SP,94,594175.05,368812.98,35,3,1,459523.23,0.7842,7,0,1,whatsapp,alto,276,414,0
PJ0114,2026-05-28,Agronegócio,EPP,PE,62,101491.22,33626.29,25,2,1,99972.59,0.4029,3,1,0,email,medio,700,980,1
PJ0115,2026-06-30,Comércio,ME,SP,153,15929.53,2261.57,31,6,2,12544.06,0.1903,6,1,2,telefone,baixo,599,769,1
PJ0116,2026-03-28,Serviços,ME,SP,135,59185.66,10111.12,7,1,1,48967.77,0.2882,2,0,1,telefone,baixo,713,961,1
PJ0117,2026-02-28,Serviços,EPP,PE,190,41453.39,11289.11,75,1,2,32526.49,0.2961,5,0,0,email,baixo,526,200,0
PJ0118,2026-02-28,Tecnologia,EPP,SP,89,15935.03,8915.32,53,1,1,13612.18,0.7416,3,0,2,portal,baixo,617,931,1
PJ0119,2026-03-28,Serviços,EPP,SP,173,131415.72,87163.22,98,6,5,219985.0,0.3861,1,0,0,portal,baixo,95,217,0
PJ0120,2026-05-28,Serviços,EPP,RJ,64,121698.91,47474.44,40,2,2,90672.18,0.6454,2,0,2,email,,281,85,0
PJ0121,2026-06-30,Comércio,Grande,RJ,48,305626.88,43692.26,30,1,2,145658.6,0.2204,7,0,2,telefone,baixo,384,376,0
PJ0122,2026-05-28,Agronegócio,EPP,SP,239,97476.72,14728.66,44,4,2,26096.29,0.5552,7,1,1,whatsapp,medio,867,951,1
PJ0123,2026-01-28,Serviços,EPP,SP,128,121751.69,74525.21,39,1,3,200571.62,0.4138,0,0,4,email,baixo,376,372,0
PJ0124,2026-02-28,Agronegócio,Grande,RJ,104,725728.09,537648.28,19,2,1,1139342.42,0.4482,5,0,4,telefone,baixo,292,882,1
PJ0125,2026-01-28,Serviços,EPP,RJ,97,102151.22,49772.47,18,2,1,58963.86,0.8782,8,0,0,whatsapp,medio,608,132,0
PJ0126,2026-05-28,Agronegócio,ME,SP,209,69787.87,10087.96,12,1,1,27076.75,0.3326,6,0,2,telefone,baixo,557,72,0
PJ0127,2026-03-28,Agronegócio,EPP,BA,78,65371.03,37451.92,10,2,2,110861.12,0.2858,8,1,1,telefone,medio,847,210,0
PJ0128,2026-03-28,Construção,Grande,SP,118,648175.58,467546.87,10,2,1,1290321.26,0.3314,5,1,1,portal,medio,962,896,1
PJ0129,2026-04-30,Construção,Média,MG,24,517366.89,319655.83,14,6,1,467014.25,0.7298,6,1,0,email,medio,519,817,1
PJ0130,2026-05-28,Comércio,ME,PR,28,91643.84,19352.66,51,2,2,52984.02,0.2935,4,0,4,email,medio,269,370,0
PJ0131,2026-03-28,Serviços,Média,SC,122,164278.8,49395.05,132,3,5,95269.52,0.5063,7,0,0,,medio,176,404,0
PJ0132,2026-06-30,Comércio,ME,SP,19,33755.36,6557.73,16,2,1,19365.3,0.3324,7,1,4,whatsapp,alto,640,43,0
PJ0133,2026-03-28,Indústria,EPP,RS,75,105476.54,74283.66,14,2,1,106183.92,0.7316,0,0,0,telefone,alto,689,886,1
PJ0134,2026-03-28,Comércio,ME,RJ,162,34748.85,14815.1,32,5,2,16241.6,0.9651,0,0,0,whatsapp,alto,570,969,1
PJ0135,2026-06-30,Tecnologia,ME,RS,17,56831.4,6713.37,55,2,2,42290.6,0.0798,6,0,0,email,medio,461,874,1
PJ0136,2026-03-28,Indústria,Média,SP,104,344751.69,251777.45,21,5,1,744103.13,0.3598,3,1,0,telefone,medio,844,786,1
PJ0137,2026-03-28,Agronegócio,EPP,MG,166,,31234.56,18,1,1,70072.08,0.3841,2,0,0,email,medio,434,992,1
PJ0138,2026-06-30,Comércio,ME,SP,167,33269.43,5816.7,51,1,2,19675.81,0.2689,3,1,0,whatsapp,alto,421,275,0
PJ0139,2026-05-28,Serviços,EPP,SP,17,61794.8,22606.87,20,1,1,50112.21,0.5128,4,0,1,portal,medio,706,163,0
PJ0140,2026-06-30,Comércio,ME,SP,198,51830.72,32698.22,29,4,1,39389.69,0.8507,2,0,3,portal,medio,777,976,1
PJ0141,2026-02-28,Comércio,Média,MG,108,86766.42,16116.28,5,2,1,51049.91,0.4628,4,1,1,telefone,baixo,572,933,1
PJ0142,2026-06-30,Serviços,ME,PR,28,,4789.02,10,5,2,8098.13,0.6651,0,0,1,telefone,medio,282,260,0
PJ0143,2026-03-28,Serviços,EPP,SP,41,36189.36,14634.85,14,2,1,40916.65,0.4727,8,0,2,email,baixo,724,839,1
PJ0144,2026-05-28,Indústria,ME,PR,191,50385.89,19184.61,88,3,3,38797.09,0.5321,5,0,1,whatsapp,baixo,205,253,0
PJ0145,2026-02-28,Serviços,Grande,SP,65,915860.5,441171.23,104,6,3,885213.89,0.5747,8,0,0,whatsapp,medio,162,260,0
PJ0146,2026-01-28,Tecnologia,EPP,RJ,88,22687.28,9818.6,21,4,2,21197.31,0.5744,1,0,0,telefone,baixo,349,904,1
PJ0147,2026-05-28,Comércio,EPP,SC,135,48346.62,22424.87,26,3,1,34601.08,0.7492,0,0,1,telefone,medio,730,995,1
PJ0148,2026-05-28,Comércio,ME,SP,123,21942.63,5704.63,59,1,1,12350.45,0.5154,0,0,0,telefone,baixo,129,298,0
PJ0149,2026-02-28,Serviços,ME,PR,208,8369.25,3990.4,22,1,1,6239.11,0.5656,3,1,0,telefone,medio,768,815,1
PJ0150,2026-02-28,Agronegócio,EPP,SP,56,132715.09,75713.18,95,2,4,100654.69,0.8761,7,0,0,whatsapp,medio,106,123,0
PJ0151,2026-05-28,Construção,EPP,SP,129,164182.75,42171.13,37,3,2,109839.05,0.4244,0,0,0,email,medio,539,988,1
PJ0152,2026-01-28,Tecnologia,Grande,RJ,28,297188.95,131370.04,75,3,4,415698.41,0.3804,4,0,0,telefone,medio,36,240,0
PJ0153,2026-05-28,Comércio,EPP,SP,115,124967.69,76173.21,42,1,3,203380.82,0.3356,5,0,2,portal,medio,407,104,0
PJ0154,2026-02-28,Agronegócio,EPP,GO,43,28845.97,13807.44,51,2,2,23141.54,0.5375,1,1,0,whatsapp,baixo,775,846,1
PJ0155,2026-03-28,Indústria,Grande,SP,183,400571.59,85662.82,50,1,2,208885.93,0.3557,5,0,1,telefone,medio,213,924,1
PJ0156,2026-05-28,Serviços,EPP,SP,196,63544.17,32922.28,72,1,4,101824.22,0.4918,7,0,2,telefone,medio,281,48,0
PJ0157,2026-04-30,Serviços,ME,SP,83,,3361.28,28,1,1,7247.81,0.5962,8,0,0,whatsapp,medio,928,940,1
PJ0158,2026-03-28,Serviços,EPP,PR,71,56919.26,8770.86,25,2,1,46147.34,0.3572,2,1,0,whatsapp,medio,832,832,1
PJ0159,2026-06-30,Comércio,EPP,MG,17,46346.31,34047.72,57,1,2,46193.77,0.7468,7,0,0,whatsapp,baixo,509,65,0
PJ0160,2026-04-30,Serviços,EPP,SP,208,,58133.42,32,1,2,127473.5,0.5597,6,0,1,whatsapp,medio,462,825,1
PJ0161,2026-04-30,Indústria,Grande,SP,103,1840909.86,701226.42,13,3,2,1962458.21,0.3273,5,1,4,whatsapp,alto,325,927,1
PJ0162,2026-03-28,Indústria,Média,PR,149,286484.37,108319.41,87,1,3,231632.06,0.5108,2,0,1,telefone,medio,101,143,0
PJ0163,2026-03-28,Comércio,EPP,PR,97,52056.67,5283.73,39,4,2,34755.4,0.1268,3,1,1,email,medio,727,138,0
PJ0164,2026-04-30,Comércio,Média,PR,7,303702.94,115904.9,40,2,1,343073.14,0.3051,7,0,0,whatsapp,baixo,543,927,1
PJ0165,2026-05-28,Tecnologia,EPP,GO,89,88301.55,32162.62,17,4,1,80023.09,0.3883,0,0,4,telefone,baixo,351,130,0
PJ0166,2026-03-28,Indústria,Média,SP,152,157458.1,89157.46,11,6,1,144023.48,0.6202,2,0,0,,baixo,782,786,1
PJ0167,2026-01-28,Indústria,Média,SP,144,194694.27,84519.1,31,1,3,151618.12,0.491,0,0,0,whatsapp,medio,792,816,1
PJ0168,2026-04-30,Comércio,ME,SP,155,13122.6,6220.36,58,3,1,7641.63,0.7717,6,0,1,telefone,baixo,842,846,1
PJ0169,2026-04-30,Serviços,ME,RJ,215,21924.88,15990.41,9,3,1,25375.59,0.6049,6,0,0,whatsapp,medio,915,410,0
PJ0170,2026-04-30,Comércio,EPP,SP,41,45123.56,10343.42,54,3,2,19291.91,0.5229,5,1,1,whatsapp,medio,605,778,1
PJ0171,2026-06-30,Comércio,EPP,SP,167,65410.63,43063.86,119,2,4,136344.99,0.4904,1,0,1,portal,baixo,108,91,0
PJ0172,2026-01-28,Indústria,ME,MG,126,37037.82,27663.97,66,1,4,53280.38,0.6266,8,0,0,whatsapp,,253,111,0
PJ0173,2026-04-30,Comércio,EPP,PE,20,90135.58,36802.24,111,2,4,70258.11,0.6579,6,0,1,telefone,baixo,218,226,0
PJ0174,2026-03-28,Tecnologia,ME,MG,208,17272.32,12231.22,68,5,4,23252.76,0.5796,1,0,0,email,medio,307,210,0
PJ0175,2026-03-28,Comércio,Média,PR,240,352406.91,175231.68,41,2,2,300224.43,0.5313,2,0,0,portal,alto,553,412,0
PJ0176,2026-04-30,Comércio,EPP,SP,109,128738.43,52141.1,54,3,3,88301.86,0.6793,2,1,2,portal,medio,195,917,1
PJ0177,2026-02-28,Comércio,Média,MG,92,158376.32,89961.96,62,1,4,156448.57,0.5124,5,0,0,whatsapp,baixo,428,19,0
PJ0178,2026-02-28,Serviços,ME,RJ,85,79428.25,35972.09,12,2,1,97474.66,0.4677,5,1,0,telefone,medio,948,795,1
PJ0179,2026-05-28,Construção,Média,PR,83,299249.54,175844.83,30,3,2,406337.6,0.4659,6,0,3,whatsapp,medio,543,821,1
PJ0180,2026-06-30,Comércio,Grande,SP,121,721486.15,428631.98,39,3,2,1273891.37,0.4455,3,0,0,email,medio,750,802,1
PJ0181,2026-06-30,Serviços,EPP,RJ,20,102121.08,66939.61,42,2,2,138034.73,0.475,1,0,0,portal,alto,527,894,1
PJ0182,2026-02-28,Serviços,Média,SP,20,169608.65,86151.42,43,1,2,107957.72,0.733,5,0,3,whatsapp,medio,560,994,1
PJ0183,2026-03-28,Comércio,Média,PR,41,157026.92,25099.03,36,4,3,84993.29,0.4429,6,0,0,whatsapp,medio,638,865,1
PJ0184,2026-04-30,Construção,Média,GO,58,225481.3,82911.27,32,2,2,221196.1,0.5172,2,0,0,portal,baixo,348,782,1
PJ0185,2026-06-30,Indústria,EPP,MG,118,119318.15,25611.31,25,2,1,60266.41,0.4363,5,0,0,whatsapp,alto,650,140,0
PJ0186,2026-04-30,Comércio,ME,SP,35,26985.92,4751.99,80,4,3,15049.79,0.4719,0,0,1,portal,medio,187,163,0
PJ0187,2026-03-28,Tecnologia,Grande,MG,113,533475.66,263068.33,11,2,1,732681.73,0.5003,6,0,1,email,medio,876,942,1
PJ0188,2026-02-28,Serviços,ME,PR,8,14004.72,2000.0,31,4,3,8032.31,0.3736,0,0,0,portal,baixo,692,835,1
PJ0189,2026-03-28,Agronegócio,ME,RJ,205,28964.37,21427.85,129,2,5,64451.63,0.4105,6,0,1,email,,40,424,0
